lon,lat
1.552067348,51.14574899
1.979383332,51.1282971
2.406253522,51.10929013
1.148564159,51.43069998
1.57877995,51.4146542
2.008579108,51.39703482
2.43792334,51.37784558
2.866774611,51.35709053
1.17316335,51.69973711
1.605909225,51.6835369
2.038229853,51.66574807
2.470086165,51.64637443
2.901439357,51.62542011
3.332250915,51.60288957
1.633463788,51.95239689
2.06834496,51.93443661
2.502752157,51.91487639
2.936645788,51.89372046
3.369986559,51.87097336
3.802735495,51.84663996
1.661452498,52.22123398
2.098934087,52.2031002
2.535931767,52.18335119
2.972405134,52.16199125
3.408314093,52.13902501
3.843618882,52.11445744
2.13000717,52.47173861
2.56963574,52.45179853
3.008728942,52.43023213
3.447245857,52.40704413
3.885145912,52.3822396
4.322388898,52.35582394
1.718769084,52.75883867
2.161574433,52.74035158
2.603875135,52.72021811
3.045629093,52.69844275
3.486794543,52.67503031
3.927330076,52.64998596
4.367194663,52.6233152
0.408866343,53.07359357
0.855682238,53.05993686
1.302113405,53.04460646
1.748115987,53.02760585
2.193646394,53.00893884
2.638661328,52.98860962
3.083117811,52.96662275
3.526973209,52.94298312
3.970185254,52.91769603
4.412712074,52.89076707
0.430322775,53.34278643
0.879934903,53.32899615
1.329153949,53.31351593
1.777935115,53.2963493
2.226233881,53.27750014
2.67400603,53.25697274
3.121207677,53.23477174
3.567795292,53.21090213
4.013725727,53.18536931
4.458956241,53.158179
5.347148727,53.09885059
-0.000681796,53.62417689
0.452127281,53.61196098
0.904580693,53.59803546
1.356632419,53.58240353
1.808236693,53.56506878
2.259348039,53.5460352
2.709921294,53.52530714
3.159911639,53.50288934
3.609274622,53.47878689
4.057966191,53.45300529
4.505942713,53.42555039
4.953161003,53.39642837
5.399578347,53.36564582
0.018583245,53.89345326
0.474287489,53.88111712
0.929628213,53.86705464
1.384558387,53.85126907
1.839031252,53.83376409
2.293000345,53.81454374
2.74641953,53.79361249
3.199243027,53.77097515
3.651425439,53.74663694
4.102921778,53.72060345
4.553687496,53.69288064
5.003678509,53.66347484
5.452851218,53.63239275
5.901162541,53.59964141
6.348569933,53.56522823
6.795031407,53.52916097
0.038164576,54.16271266
0.496811259,54.15025476
0.955086326,54.13605355
1.412941714,54.12011237
1.870329637,54.10243496
2.327202618,54.08302547
2.783513518,54.06188843
3.23921557,54.03902877
3.6942624,54.0144518
4.148608063,53.98816323
4.602207068,53.96016913
5.055014403,53.93047598
5.506985564,53.89909059
5.95807658,53.86602016
6.408244036,53.83127224
6.857445097,53.79485474
7.305637532,53.7567759
7.752779737,53.71704433
8.198830752,53.67566895
-0.403898761,54.44277283
0.058069247,54.43195504
0.519706685,54.41937377
0.980964166,54.40503204
1.441792559,54.38893323
1.902143021,54.37108118
2.361967033,54.35148009
2.821216423,54.33013461
3.279843404,54.30704977
3.737800603,54.28223098
4.195041087,54.25568407
4.651518393,54.22741524
5.10718656,54.19743108
5.56200015,54.16573856
6.015914277,54.13234501
6.468884635,54.09725814
6.920867517,54.06048601
7.371819843,54.02203703
7.821699182,53.98191998
8.27046377,53.94014396
8.718072536,53.8967184
-0.852014093,54.72124738
-0.386711118,54.71210562
0.078304526,54.7011803
0.542982111,54.68847406
1.007271141,54.67398996
1.471121386,54.65773146
1.934482916,54.63970247
2.397306132,54.6199073
2.859541804,54.59835067
3.321141096,54.57503771
3.7820556,54.54997398
4.24223737,54.52316539
4.701638946,54.49461829
5.160213386,54.4643394
5.617914294,54.43233582
6.074695845,54.39861504
6.530512814,54.36318491
6.985320602,54.32605368
7.439075255,54.28722991
7.891733494,54.24672256
8.343252732,54.2045409
8.793591097,54.16069456
-1.306293754,54.99808505
-0.837644026,54.99065562
-0.369236112,54.98142264
0.098877903,54.97038838
0.566646137,54.9575555
1.034016952,54.94292714
1.500938985,54.92650684
